File ID,Parent File ID,Client Name,Reference,Type,Mode,Milestone Status,Pieces,Gross KGS,Chargeable CHW,CT File,Warehouse Receipt,AES Ref,MAWB,HAWB,ETD,ETA,Created At
845,,"HLE Drones","936-02708252",Import,Air,On the Way,26,206,206,,,,936-02708252,,2026-06-15,2026-06-17,2026-06-12T12:51:06.803841+00:00
812,,"NewMaster","Carritos Golf",Export,Ocean,On the Way,1,3245,3245,,,X20260615620175,MAEU271441793,004013,2026-06-19,2026-07-13,2026-06-07T16:29:04.707888+00:00
857,,"Zanaya","MAEU270701003",Transit,Air,Quoting,1,17201,17201,,,,MAEU270701003,,,,2026-06-18T02:31:42.471395+00:00
856,,"Vargos","014-24490616",Transit,Air,On the Way,1,220,220,,,,014-24490616,,,,2026-06-18T02:30:05.057117+00:00
855,,"Gravity","160-11820216",Transit,Air,On the Way,,,,,,,160-11820216,,,,2026-06-17T11:51:05.550672+00:00
854,,"NewMaster","Korea-Cosmeticos",Import,Air,Quoted,,,,,,,,,,,2026-06-15T20:46:07.898108+00:00
853,,"General Quote","Cotizacion a nuestra bodega",Transit,Land,Pickup,,,,,,,,,,,2026-06-15T16:54:42.942231+00:00
843,,"General Quote","BMW X7 | VB01 / MF",Export,Ocean,Quoting,,,,,,,,,,,2026-06-10T23:02:15.142727+00:00
837,,"General Quote","USA to SOUTH AFRICA",Quote,Air,Quoted,,,,,,,,,,,2026-06-09T14:25:01.440017+00:00
834,,"General Quote","HOUSTON- ASUNCION- RORO NM",Export,Ocean,Quoting,,,,,,,,,,,2026-06-08T17:32:25.992131+00:00
833,,"General Quote","Scrap Tyres",Quote,Ocean,Quoted,,,,,,,,,,,2026-06-08T17:26:17.557018+00:00
832,,"Natlex","Turkey shp",Quote,Ocean,Quoted,,,,,,,,,,,2026-06-08T16:26:54.565991+00:00
